max_depth,min_samples_split,min_samples_leaf,class_weight_factor,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,n_leaves_mean,n_leaves_std
3,80,50,1.0,0.8956957856445561,0.026102356076663426,0.950972753403879,0.02183503409737794,0.9220466400871311,0.007835553428738195,7.8,0.44721359549995787
3,80,60,0.6,0.9080407731687201,0.016713371472311646,0.9241834578946705,0.0259090264336177,0.9157337238254801,0.011125273710003086,8.0,0.0
3,80,60,0.7,0.9065729180476124,0.01760831439098236,0.9282809644938486,0.023573196370511383,0.9169994615225902,0.009437145379594907,8.0,0.0
3,80,60,0.8,0.9078837754221626,0.01675334582022286,0.9272107254555031,0.02233386208300035,0.9171839415862746,0.009506686532879428,8.0,0.0
3,80,60,0.9,0.90654070142569,0.015871136283042202,0.9310046794534006,0.023570052550853284,0.9183538142699186,0.01050303771008539,8.0,0.0
3,80,60,1.0,0.8956957856445561,0.026102356076663426,0.950972753403879,0.02183503409737794,0.9220466400871311,0.007835553428738195,7.8,0.44721359549995787
3,80,70,0.6,0.9080407731687201,0.016713371472311646,0.9241834578946705,0.0259090264336177,0.9157337238254801,0.011125273710003086,8.0,0.0
3,80,70,0.7,0.9065558666784023,0.017636242225618864,0.9282809644938486,0.023573196370511383,0.9169903069803172,0.009438985599817854,8.0,0.0
3,80,70,0.8,0.9078691319319182,0.0167832947247608,0.9272363402096016,0.022353635235419226,0.9171883122970138,0.00951562294068487,8.0,0.0
3,80,70,0.9,0.9065262135498477,0.01590309999837462,0.9310302942074988,0.023583639179500883,0.9183582045392011,0.010508865817540144,8.0,0.0
3,80,70,1.0,0.8957911172369004,0.026219123259595453,0.9507500443437236,0.02193369387377197,0.9219863128704873,0.0077124362803440245,7.8,0.44721359549995787
3,100,40,0.6,0.9080407731687201,0.016713371472311646,0.9241834578946705,0.0259090264336177,0.9157337238254801,0.011125273710003086,8.0,0.0
3,100,40,0.7,0.9065729180476124,0.01760831439098236,0.9282809644938486,0.023573196370511383,0.9169994615225902,0.009437145379594907,8.0,0.0
3,100,40,0.8,0.9078837754221626,0.01675334582022286,0.9272107254555031,0.02233386208300035,0.9171839415862746,0.009506686532879428,8.0,0.0
3,100,40,0.9,0.90654070142569,0.015871136283042202,0.9310046794534006,0.023570052550853284,0.9183538142699186,0.01050303771008539,8.0,0.0
3,100,40,1.0,0.8956957856445561,0.026102356076663426,0.950972753403879,0.02183503409737794,0.9220466400871311,0.007835553428738195,7.8,0.44721359549995787
3,100,50,0.6,0.9080407731687201,0.016713371472311646,0.9241834578946705,0.0259090264336177,0.9157337238254801,0.011125273710003086,8.0,0.0
3,100,50,0.7,0.9065729180476124,0.01760831439098236,0.9282809644938486,0.023573196370511383,0.9169994615225902,0.009437145379594907,8.0,0.0
3,100,50,0.8,0.9078837754221626,0.01675334582022286,0.9272107254555031,0.02233386208300035,0.9171839415862746,0.009506686532879428,8.0,0.0
3,100,50,0.9,0.90654070142569,0.015871136283042202,0.9310046794534006,0.023570052550853284,0.9183538142699186,0.01050303771008539,8.0,0.0
3,100,50,1.0,0.8956957856445561,0.026102356076663426,0.950972753403879,0.02183503409737794,0.9220466400871311,0.007835553428738195,7.8,0.44721359549995787
3,100,60,0.6,0.9080407731687201,0.016713371472311646,0.9241834578946705,0.0259090264336177,0.9157337238254801,0.011125273710003086,8.0,0.0
3,100,60,0.7,0.9065729180476124,0.01760831439098236,0.9282809644938486,0.023573196370511383,0.9169994615225902,0.009437145379594907,8.0,0.0
3,100,60,0.8,0.9078837754221626,0.01675334582022286,0.9272107254555031,0.02233386208300035,0.9171839415862746,0.009506686532879428,8.0,0.0
3,100,60,0.9,0.90654070142569,0.015871136283042202,0.9310046794534006,0.023570052550853284,0.9183538142699186,0.01050303771008539,8.0,0.0
