max_depth,min_samples_split,min_samples_leaf,class_weight_factor,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,n_leaves_mean,n_leaves_std
3,80,50,0.9,0.7920609789864289,0.055004938433069556,0.9196858937618156,0.03801096896880767,0.8491956320328718,0.023792079971604856,8.0,0.0
3,80,50,1.0,0.7852404950886729,0.0604884752894224,0.931521799342901,0.043803150430583915,0.8497750207568652,0.027717779789268496,8.0,0.0
3,80,60,0.6,0.8108154899311717,0.03593571960342401,0.872868401319864,0.026078847083773653,0.8401055484931407,0.0206156698198896,8.0,0.0
3,80,60,0.7,0.8071169493947477,0.03585043982039058,0.8884107447289544,0.02177458724159354,0.8452416660279856,0.01900538777607989,8.0,0.0
3,80,60,0.8,0.8069601684638619,0.03617158506562749,0.8887068765075959,0.021952001843769692,0.8452704021669369,0.018951168549293157,8.0,0.0
3,80,60,0.9,0.7920609789864289,0.055004938433069556,0.9196858937618156,0.03801096896880767,0.8491956320328718,0.023792079971604856,8.0,0.0
3,80,60,1.0,0.7852404950886729,0.0604884752894224,0.931521799342901,0.043803150430583915,0.8497750207568652,0.027717779789268496,8.0,0.0
3,80,70,0.6,0.8108154899311717,0.03593571960342401,0.872868401319864,0.026078847083773653,0.8401055484931407,0.0206156698198896,8.0,0.0
3,80,70,0.7,0.8071169493947477,0.03585043982039058,0.8884107447289544,0.02177458724159354,0.8452416660279856,0.01900538777607989,8.0,0.0
3,80,70,0.8,0.8069601684638619,0.03617158506562749,0.8887068765075959,0.021952001843769692,0.8452704021669369,0.018951168549293157,8.0,0.0
3,80,70,0.9,0.7920609789864289,0.055004938433069556,0.9196858937618156,0.03801096896880767,0.8491956320328718,0.023792079971604856,8.0,0.0
3,80,70,1.0,0.7852404950886729,0.0604884752894224,0.931521799342901,0.043803150430583915,0.8497750207568652,0.027717779789268496,8.0,0.0
3,100,40,0.6,0.8108154899311717,0.03593571960342401,0.872868401319864,0.026078847083773653,0.8401055484931407,0.0206156698198896,8.0,0.0
3,100,40,0.7,0.8071169493947477,0.03585043982039058,0.8884107447289544,0.02177458724159354,0.8452416660279856,0.01900538777607989,8.0,0.0
3,100,40,0.8,0.8069601684638619,0.03617158506562749,0.8887068765075959,0.021952001843769692,0.8452704021669369,0.018951168549293157,8.0,0.0
3,100,40,0.9,0.7920609789864289,0.055004938433069556,0.9196858937618156,0.03801096896880767,0.8491956320328718,0.023792079971604856,8.0,0.0
3,100,40,1.0,0.7852404950886729,0.0604884752894224,0.931521799342901,0.043803150430583915,0.8497750207568652,0.027717779789268496,8.0,0.0
3,100,50,0.6,0.8108154899311717,0.03593571960342401,0.872868401319864,0.026078847083773653,0.8401055484931407,0.0206156698198896,8.0,0.0
3,100,50,0.7,0.8071169493947477,0.03585043982039058,0.8884107447289544,0.02177458724159354,0.8452416660279856,0.01900538777607989,8.0,0.0
3,100,50,0.8,0.8069601684638619,0.03617158506562749,0.8887068765075959,0.021952001843769692,0.8452704021669369,0.018951168549293157,8.0,0.0
3,100,50,0.9,0.7920609789864289,0.055004938433069556,0.9196858937618156,0.03801096896880767,0.8491956320328718,0.023792079971604856,8.0,0.0
3,100,50,1.0,0.7852404950886729,0.0604884752894224,0.931521799342901,0.043803150430583915,0.8497750207568652,0.027717779789268496,8.0,0.0
3,100,60,0.6,0.8108154899311717,0.03593571960342401,0.872868401319864,0.026078847083773653,0.8401055484931407,0.0206156698198896,8.0,0.0
3,100,60,0.7,0.8071169493947477,0.03585043982039058,0.8884107447289544,0.02177458724159354,0.8452416660279856,0.01900538777607989,8.0,0.0
3,100,60,0.8,0.8069601684638619,0.03617158506562749,0.8887068765075959,0.021952001843769692,0.8452704021669369,0.018951168549293157,8.0,0.0
3,100,60,0.9,0.7920609789864289,0.055004938433069556,0.9196858937618156,0.03801096896880767,0.8491956320328718,0.023792079971604856,8.0,0.0
3,100,60,1.0,0.7852404950886729,0.0604884752894224,0.931521799342901,0.043803150430583915,0.8497750207568652,0.027717779789268496,8.0,0.0
3,100,70,0.6,0.8108154899311717,0.03593571960342401,0.872868401319864,0.026078847083773653,0.8401055484931407,0.0206156698198896,8.0,0.0
3,100,70,0.7,0.8071169493947477,0.03585043982039058,0.8884107447289544,0.02177458724159354,0.8452416660279856,0.01900538777607989,8.0,0.0
3,100,70,0.8,0.8069601684638619,0.03617158506562749,0.8887068765075959,0.021952001843769692,0.8452704021669369,0.018951168549293157,8.0,0.0
3,100,70,0.9,0.7920609789864289,0.055004938433069556,0.9196858937618156,0.03801096896880767,0.8491956320328718,0.023792079971604856,8.0,0.0
3,100,70,1.0,0.7852404950886729,0.0604884752894224,0.931521799342901,0.043803150430583915,0.8497750207568652,0.027717779789268496,8.0,0.0
4,60,40,0.6,0.821205757075958,0.04044330899793203,0.8714397365402968,0.05163003582540907,0.8439300779642824,0.020531123402824675,16.0,0.0
4,60,40,0.7,0.8085932568727333,0.04169591297773074,0.9061854948024901,0.02943115847892167,0.8536746860115938,0.021296303298830636,16.0,0.0
4,60,40,0.8,0.8064681205955673,0.045014467350445904,0.9087776189549572,0.033822444371250024,0.8533483509957511,0.02138056092843536,16.0,0.0
4,60,40,0.9,0.8003761984018503,0.042028833119765976,0.9230859636488035,0.02267104500873636,0.8564593027009995,0.01968155435310054,16.0,0.0
4,60,40,1.0,0.7992109701167547,0.04099600818519507,0.9259365888039064,0.020771558317188576,0.8571556739652563,0.02126692124318882,16.0,0.0
4,60,50,0.6,0.821205757075958,0.04044330899793203,0.8714397365402968,0.05163003582540907,0.8439300779642824,0.020531123402824675,16.0,0.0
4,60,50,0.7,0.8085932568727333,0.04169591297773074,0.9061854948024901,0.02943115847892167,0.8536746860115938,0.021296303298830636,16.0,0.0
4,60,50,0.8,0.8064681205955673,0.045014467350445904,0.9087776189549572,0.033822444371250024,0.8533483509957511,0.02138056092843536,16.0,0.0
