model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
270,dt_d5_s60_l20_w0.2.pkl,5,60,20,0.2,0.922679253764891,0.4919113241461953,0.6417070501797718,0.8924777490668964,0.5049135060505158,0.6449504642356969
271,dt_d5_s60_l20_w0.3.pkl,5,60,20,0.3,0.8770191536126714,0.7530856800479329,0.8103412149638154,0.8261474269819193,0.771867132299196,0.7980854011840283
272,dt_d5_s60_l20_w0.4.pkl,5,60,20,0.4,0.8701243034719246,0.7905931695626124,0.8284543785022525,0.81801697848842,0.806058637212702,0.8119937822138591
273,dt_d5_s60_l20_w0.5.pkl,5,60,20,0.5,0.8501071301035591,0.8558118633912523,0.8529499581989729,0.7978483298224496,0.8612848209209778,0.8283538371411834
274,dt_d5_s60_l20_w0.6.pkl,5,60,20,0.6,0.8453656674789348,0.8626123427201917,0.8539019290935781,0.7932059763621497,0.8666450093397222,0.8283008616005588
275,dt_d5_s60_l20_w0.7.pkl,5,60,20,0.7,0.8221506006445942,0.9246854403834631,0.8704087531548299,0.7660944206008584,0.9277998862990335,0.8392286501377411
276,dt_d5_s60_l20_w0.8.pkl,5,60,20,0.8,0.8169278996865204,0.936848412222888,0.8727881663410549,0.7592277486910994,0.9421749370583936,0.8408654368861668
277,dt_d5_s60_l20_w0.9.pkl,5,60,20,0.9,0.8172366049269835,0.9371779508687837,0.8731073556706066,0.7594787505729814,0.9419312921302688,0.8409222737819025
278,dt_d5_s60_l20_w1.0.pkl,5,60,20,1.0,0.8192235244872331,0.9381066506890353,0.8746438746438746,0.762340397525339,0.9407130674896451,0.8421856254771513
279,dt_d5_s60_l30_w0.2.pkl,5,60,30,0.2,0.922679253764891,0.4919113241461953,0.6417070501797718,0.8924777490668964,0.5049135060505158,0.6449504642356969
280,dt_d5_s60_l30_w0.3.pkl,5,60,30,0.3,0.8770191536126714,0.7530856800479329,0.8103412149638154,0.8261474269819193,0.771867132299196,0.7980854011840283
281,dt_d5_s60_l30_w0.4.pkl,5,60,30,0.4,0.8701889779360839,0.7904433792690234,0.8284014379680068,0.8182567823864105,0.8058962072606188,0.8120294599018003
282,dt_d5_s60_l30_w0.5.pkl,5,60,30,0.5,0.8500193274062621,0.8564110245656081,0.8532032054438824,0.7994131367090512,0.8629091204418095,0.8299484455553819
283,dt_d5_s60_l30_w0.6.pkl,5,60,30,0.6,0.8451150775011742,0.862432594367885,0.853686020995196,0.7947611251674356,0.8673759441240965,0.8294823501999923
284,dt_d5_s60_l30_w0.7.pkl,5,60,30,0.7,0.8223982503867285,0.9237567405632116,0.8701357338375144,0.7679483732186072,0.9277998862990335,0.8403398433189893
285,dt_d5_s60_l30_w0.8.pkl,5,60,30,0.8,0.817083692838654,0.9362192929898142,0.8726039063481648,0.760889530307006,0.9420125071063103,0.8418187756286969
286,dt_d5_s60_l30_w0.9.pkl,5,60,30,0.9,0.8171534562934323,0.9370581186339125,0.8730078986296017,0.7591986382087207,0.9417688621781857,0.8406858302823794
287,dt_d5_s60_l30_w1.0.pkl,5,60,30,1.0,0.8190615682376942,0.9381665668064709,0.874577596559332,0.7618891008353614,0.9407130674896451,0.8419101613606629
288,dt_d5_s60_l40_w0.2.pkl,5,60,40,0.2,0.9230204450468767,0.4896045536249251,0.6398230434952825,0.8933217692974849,0.5019085519369771,0.6427122874525506
289,dt_d5_s60_l40_w0.3.pkl,5,60,40,0.3,0.8772212116972156,0.7512881965248652,0.8093854892847921,0.8263295553618134,0.7697555429221148,0.7970399024513308
290,dt_d5_s60_l40_w0.4.pkl,5,60,40,0.4,0.8704795337130746,0.7874475733972438,0.8268843588775638,0.8192581553237291,0.8036221879314546,0.8113648476897216
291,dt_d5_s60_l40_w0.5.pkl,5,60,40,0.5,0.8497575775603081,0.85584182144997,0.8527888475947403,0.7992467043314501,0.8616908958011857,0.8292949820228231
292,dt_d5_s60_l40_w0.6.pkl,5,60,40,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
293,dt_d5_s60_l40_w0.7.pkl,5,60,40,0.7,0.8221310164703374,0.9241461953265429,0.8701588107528702,0.7677011957544001,0.9281247462031998,0.8403250119489687
294,dt_d5_s60_l40_w0.8.pkl,5,60,40,0.8,0.8168657067447148,0.9364589574595567,0.872583639231231,0.7607028125614633,0.9423373670104768,0.8418341435101212
295,dt_d5_s60_l40_w0.9.pkl,5,60,40,0.9,0.8171767596246831,0.9366686638705812,0.8728521377423543,0.7610050514990487,0.942093722082352,0.8419219044854115
296,dt_d5_s60_l40_w1.0.pkl,5,60,40,1.0,0.8193219007723525,0.9375074895146794,0.8744393992315753,0.7638989645848447,0.9407130674896451,0.8431358276313874
297,dt_d5_s60_l50_w0.2.pkl,5,60,50,0.2,0.9229638840219295,0.48921509886159376,0.6394768272864332,0.893312101910828,0.5011776171526029,0.6421101919775246
298,dt_d5_s60_l50_w0.3.pkl,5,60,50,0.3,0.8772212116972156,0.7512881965248652,0.8093854892847921,0.8263295553618134,0.7697555429221148,0.7970399024513308
299,dt_d5_s60_l50_w0.4.pkl,5,60,50,0.4,0.870530536501309,0.7869982025164769,0.8266595339616407,0.8190854870775348,0.8030536830991635,0.8109903629280295
300,dt_d5_s60_l50_w0.5.pkl,5,60,50,0.5,0.8499195518741434,0.8545536249251049,0.8522302889068148,0.7993512861129969,0.8606351011126452,0.8288619475948377
301,dt_d5_s60_l50_w0.6.pkl,5,60,50,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
302,dt_d5_s60_l50_w0.7.pkl,5,60,50,0.7,0.8224338963152699,0.9234272019173158,0.8700094553973384,0.7678451404758704,0.9277998862990335,0.840278033172741
303,dt_d5_s60_l50_w0.8.pkl,5,60,50,0.8,0.8171851696800021,0.9356500898741762,0.8724144191957989,0.7608396195473925,0.9420125071063103,0.841788228463604
304,dt_d5_s60_l50_w0.9.pkl,5,60,50,0.9,0.8174468196446794,0.9359496704613541,0.8726937527060434,0.761310657298575,0.9416064322261025,0.841914167453344
305,dt_d5_s60_l50_w1.0.pkl,5,60,50,1.0,0.8193320235756385,0.9370281605751948,0.8742366012158479,0.7640886894549294,0.9403882075854788,0.8431208359121856
306,dt_d5_s60_l60_w0.2.pkl,5,60,60,0.2,0.9231031349386642,0.48693828639904135,0.6375617792421746,0.8938490620910281,0.499228457727605,0.6406461698801459
307,dt_d5_s60_l60_w0.3.pkl,5,60,60,0.3,0.8772298741807731,0.749850209706411,0.808553938591249,0.826869322152341,0.7687809632096159,0.7967678128024914
308,dt_d5_s60_l60_w0.4.pkl,5,60,60,0.4,0.870530536501309,0.7869982025164769,0.8266595339616407,0.8190854870775348,0.8030536830991635,0.8109903629280295
309,dt_d5_s60_l60_w0.5.pkl,5,60,60,0.5,0.8499195518741434,0.8545536249251049,0.8522302889068148,0.7993512861129969,0.8606351011126452,0.8288619475948377
310,dt_d5_s60_l60_w0.6.pkl,5,60,60,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
311,dt_d5_s60_l60_w0.7.pkl,5,60,60,0.7,0.8224338963152699,0.9234272019173158,0.8700094553973384,0.7678451404758704,0.9277998862990335,0.840278033172741
312,dt_d5_s60_l60_w0.8.pkl,5,60,60,0.8,0.8175553517620857,0.9347513481126423,0.8722342581592005,0.7612283816663379,0.940144562657354,0.8412790697674418
313,dt_d5_s60_l60_w0.9.pkl,5,60,60,0.9,0.8187963596191278,0.9325644098262432,0.8719852096697387,0.7624710934919062,0.937220823519857,0.8408627222384144
314,dt_d5_s60_l60_w1.0.pkl,5,60,60,1.0,0.819048616932104,0.9367285799880167,0.8739448823299234,0.7636687797147385,0.9392511979208966,0.842408129074553
315,dt_d5_s80_l20_w0.2.pkl,5,80,20,0.2,0.9227175503771249,0.49110245656081486,0.6410276463457553,0.8930890203433848,0.502720701697393,0.6433173976304303
316,dt_d5_s80_l20_w0.3.pkl,5,80,20,0.3,0.8771445543170621,0.7520371479928101,0.8097872546331393,0.8263786044080494,0.7704052627304475,0.7974108944182918
317,dt_d5_s80_l20_w0.4.pkl,5,80,20,0.4,0.8704610093260137,0.7885260635110845,0.827470212832846,0.8189184719695717,0.8043531227158288,0.8115704511000942
318,dt_d5_s80_l20_w0.5.pkl,5,80,20,0.5,0.850053616108662,0.8549430796884362,0.8524913370773091,0.7977545022982443,0.8598229513522293,0.827626641651032
319,dt_d5_s80_l20_w0.6.pkl,5,80,20,0.6,0.8453656674789348,0.8626123427201917,0.8539019290935781,0.7932059763621497,0.8666450093397222,0.8283008616005588
320,dt_d5_s80_l20_w0.7.pkl,5,80,20,0.7,0.8221506006445942,0.9246854403834631,0.8704087531548299,0.7660944206008584,0.9277998862990335,0.8392286501377411
321,dt_d5_s80_l20_w0.8.pkl,5,80,20,0.8,0.8169278996865204,0.936848412222888,0.8727881663410549,0.7592277486910994,0.9421749370583936,0.8408654368861668
322,dt_d5_s80_l20_w0.9.pkl,5,80,20,0.9,0.8172366049269835,0.9371779508687837,0.8731073556706066,0.7594787505729814,0.9419312921302688,0.8409222737819025
323,dt_d5_s80_l20_w1.0.pkl,5,80,20,1.0,0.8192235244872331,0.9381066506890353,0.8746438746438746,0.762340397525339,0.9407130674896451,0.8421856254771513
324,dt_d5_s80_l30_w0.2.pkl,5,80,30,0.2,0.9227175503771249,0.49110245656081486,0.6410276463457553,0.8930890203433848,0.502720701697393,0.6433173976304303
325,dt_d5_s80_l30_w0.3.pkl,5,80,30,0.3,0.8771445543170621,0.7520371479928101,0.8097872546331393,0.8263786044080494,0.7704052627304475,0.7974108944182918
326,dt_d5_s80_l30_w0.4.pkl,5,80,30,0.4,0.8704610093260137,0.7885260635110845,0.827470212832846,0.8189184719695717,0.8043531227158288,0.8115704511000942
327,dt_d5_s80_l30_w0.5.pkl,5,80,30,0.5,0.8499657727908568,0.8555422408627921,0.8527448901894624,0.7993217784476262,0.861447250873061,0.8292225305867177
328,dt_d5_s80_l30_w0.6.pkl,5,80,30,0.6,0.8451150775011742,0.862432594367885,0.853686020995196,0.7947611251674356,0.8673759441240965,0.8294823501999923
329,dt_d5_s80_l30_w0.7.pkl,5,80,30,0.7,0.8223982503867285,0.9237567405632116,0.8701357338375144,0.7679483732186072,0.9277998862990335,0.8403398433189893
330,dt_d5_s80_l30_w0.8.pkl,5,80,30,0.8,0.817083692838654,0.9362192929898142,0.8726039063481648,0.760889530307006,0.9420125071063103,0.8418187756286969
331,dt_d5_s80_l30_w0.9.pkl,5,80,30,0.9,0.8171534562934323,0.9370581186339125,0.8730078986296017,0.7591986382087207,0.9417688621781857,0.8406858302823794
332,dt_d5_s80_l30_w1.0.pkl,5,80,30,1.0,0.8190615682376942,0.9381665668064709,0.874577596559332,0.7618891008353614,0.9407130674896451,0.8419101613606629
333,dt_d5_s80_l40_w0.2.pkl,5,80,40,0.2,0.9230204450468767,0.4896045536249251,0.6398230434952825,0.8933217692974849,0.5019085519369771,0.6427122874525506
334,dt_d5_s80_l40_w0.3.pkl,5,80,40,0.3,0.8772212116972156,0.7512881965248652,0.8093854892847921,0.8263295553618134,0.7697555429221148,0.7970399024513308
335,dt_d5_s80_l40_w0.4.pkl,5,80,40,0.4,0.8704795337130746,0.7874475733972438,0.8268843588775638,0.8192581553237291,0.8036221879314546,0.8113648476897216
336,dt_d5_s80_l40_w0.5.pkl,5,80,40,0.5,0.8497575775603081,0.85584182144997,0.8527888475947403,0.7992467043314501,0.8616908958011857,0.8292949820228231
337,dt_d5_s80_l40_w0.6.pkl,5,80,40,0.6,0.8451209120559457,0.8616536848412223,0.8533072256093038,0.7948756144793684,0.8667262243157638,0.8292474455107036
338,dt_d5_s80_l40_w0.7.pkl,5,80,40,0.7,0.8221310164703374,0.9241461953265429,0.8701588107528702,0.7677011957544001,0.9281247462031998,0.8403250119489687
339,dt_d5_s80_l40_w0.8.pkl,5,80,40,0.8,0.8168657067447148,0.9364589574595567,0.872583639231231,0.7607028125614633,0.9423373670104768,0.8418341435101212
340,dt_d5_s80_l40_w0.9.pkl,5,80,40,0.9,0.8171767596246831,0.9366686638705812,0.8728521377423543,0.7610050514990487,0.942093722082352,0.8419219044854115
341,dt_d5_s80_l40_w1.0.pkl,5,80,40,1.0,0.8193219007723525,0.9375074895146794,0.8744393992315753,0.7638989645848447,0.9407130674896451,0.8431358276313874
342,dt_d5_s80_l50_w0.2.pkl,5,80,50,0.2,0.9229638840219295,0.48921509886159376,0.6394768272864332,0.893312101910828,0.5011776171526029,0.6421101919775246
343,dt_d5_s80_l50_w0.3.pkl,5,80,50,0.3,0.8772212116972156,0.7512881965248652,0.8093854892847921,0.8263295553618134,0.7697555429221148,0.7970399024513308
344,dt_d5_s80_l50_w0.4.pkl,5,80,50,0.4,0.870530536501309,0.7869982025164769,0.8266595339616407,0.8190854870775348,0.8030536830991635,0.8109903629280295
