max_depth,min_samples_split,min_samples_leaf,class_weight_factor,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,n_leaves_mean,n_leaves_std
3,60,70,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,60,70,0.9,0.8630833850483223,0.02552320446493996,0.950638120478861,0.005802628334290119,0.9045743442519649,0.013797632111712175,8.0,0.0
3,60,70,1.0,0.8640102405483248,0.028864367085393555,0.9482526333464542,0.011638571030146627,0.9038567261985246,0.013044643593206225,8.0,0.0
3,80,40,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,80,40,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
3,80,40,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,80,40,0.9,0.8630805340260451,0.02552464680959344,0.950616578040257,0.005811181721177034,0.90456310921351,0.013804104939063255,8.0,0.0
3,80,40,1.0,0.8637665223599441,0.029221681447553303,0.948884075982477,0.011684958500112528,0.9039923408901753,0.012787129627491066,8.0,0.0
3,80,50,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,80,50,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
3,80,50,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,80,50,0.9,0.8630805340260451,0.02552464680959344,0.950616578040257,0.005811181721177034,0.90456310921351,0.013804104939063255,8.0,0.0
3,80,50,1.0,0.8635197106049748,0.029592118667719998,0.948884075982477,0.011684958500112528,0.9038513513131374,0.01304014264770038,8.0,0.0
3,80,60,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,80,60,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
3,80,60,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,80,60,0.9,0.8630805340260451,0.02552464680959344,0.950616578040257,0.005811181721177034,0.90456310921351,0.013804104939063255,8.0,0.0
3,80,60,1.0,0.8640073895260476,0.02886575691108592,0.9482310909078502,0.011637319279334795,0.9038454911600697,0.01305071766556268,8.0,0.0
3,80,70,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,80,70,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
3,80,70,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,80,70,0.9,0.8630833850483223,0.02552320446493996,0.950638120478861,0.005802628334290119,0.9045743442519649,0.013797632111712175,8.0,0.0
3,80,70,1.0,0.8640102405483248,0.028864367085393555,0.9482526333464542,0.011638571030146627,0.9038567261985246,0.013044643593206225,8.0,0.0
3,100,40,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,100,40,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
3,100,40,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,100,40,0.9,0.8630805340260451,0.02552464680959344,0.950616578040257,0.005811181721177034,0.90456310921351,0.013804104939063255,8.0,0.0
3,100,40,1.0,0.8637665223599441,0.029221681447553303,0.948884075982477,0.011684958500112528,0.9039923408901753,0.012787129627491066,8.0,0.0
3,100,50,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,100,50,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
3,100,50,0.8,0.8719237566246502,0.033832801519654274,0.9313371787498769,0.027004027817095783,0.8999182404249071,0.011879404070775023,8.0,0.0
3,100,50,0.9,0.8630805340260451,0.02552464680959344,0.950616578040257,0.005811181721177034,0.90456310921351,0.013804104939063255,8.0,0.0
3,100,50,1.0,0.8635197106049748,0.029592118667719998,0.948884075982477,0.011684958500112528,0.9038513513131374,0.01304014264770038,8.0,0.0
3,100,60,0.6,0.8817701255735487,0.02400768149931088,0.9112462776571677,0.030721280285820423,0.8958474526214426,0.016808270052987385,8.0,0.0
3,100,60,0.7,0.8809673026276424,0.025160381626915935,0.912797239610889,0.032795970465657326,0.8960965912098396,0.01667708527882547,8.0,0.0
